Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Afghanistan,AFG,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Albania,ALB,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Algeria,DZA,139381719321.019
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,American Samoa,ASM,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Andorra,AND,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Angola,AGO,67983511083.0109
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Antigua and Barbuda,ATG,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Argentina,ARG,438313354195.705
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Armenia,ARM,10285189143.6338
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Aruba,ABW,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Australia,AUS,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Austria,AUT,306778001442.52
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Azerbaijan,AZE,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,"Bahamas, The",BHS,8565109001.81837
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Bahrain,BHR,24143510592.9468
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Bangladesh,BGD,241419106000.911
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Barbados,BRB,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Belarus,BLR,45804220098.0364
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Belgium,BEL,379037516163.943
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Belize,BLZ,1248873909.19602
