Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,516.866552182696
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,5332.16047456847
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,3337.25251157504
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,15501.5263374397
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,37207.4938608348
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,1603.99347745326
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,14787.6357752901
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,8496.42414176374
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,4505.86736397124
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,24487.8635601966
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,51720.3707634401
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,48809.2268762243
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,4229.91064904503
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,23862.7109929122
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,23501.9194628168
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,2233.30552399269
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,16643.8065787177
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,6542.79749130553
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,45517.7949301847
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,5266.87616004213
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1237.94929535039
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,107791.886435134
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,3009.92417072191
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3068.81255507604
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,6012.06276705855
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,5863.20324072216
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,6794.48915877166
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,27179.4119853371
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,10129.8129597638
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,833.244342636324
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,216.826741341377
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,2924.10180677162
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,1577.91174726099
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1539.13055856256
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,43258.2638715601
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,83329.4587744645
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,435.469251582856
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,643.772221286329
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,13094.4595313609
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,10408.6697561349
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,5307.21522798919
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,1519.58682298786
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,524.666675441091
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,1838.44813852491
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,12132.8768848243
