Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,62.575
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,76.989
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,74.453
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,AND,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,62.261
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,78.841
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,75.892
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,72.173
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,75.723
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,83.2
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,81.1926829268293
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,66.868
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,72.677
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,79.174
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,71.968
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Barbados,BRB,77.393
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,74.2268292682927
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,80.7951219512195
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belize,BLZ,72.854
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Benin,BEN,60.088
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bermuda,BMU,82.0560975609756
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bhutan,BTN,71.609
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bolivia,BOL,64.467
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bosnia and Herzegovina,BIH,76.225
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Botswana,BWA,65.647
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brazil,BRA,74.009
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,British Virgin Islands,VGB,75.849
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brunei Darussalam,BRN,74.795
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bulgaria,BGR,73.6073170731707
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burkina Faso,BFA,59.731
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burundi,BDI,61.566
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cabo Verde,CPV,74.808
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cambodia,KHM,70.416
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cameroon,CMR,60.833
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Canada,CAN,81.7487804878049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cayman Islands,CYM,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Central African Republic,CAF,54.604
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chad,TCD,52.777
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Channel Islands,CHI,81.264
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chile,CHL,79.377
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,China,CHN,78.077
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Colombia,COL,74.769
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Comoros,COM,64.166
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Dem. Rep.",COD,59.739
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Rep.",COG,63.785
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Costa Rica,CRI,79.277
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cote d'Ivoire,CIV,59.032
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Croatia,HRV,77.7243902439024
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cuba,CUB,77.567
