"name","metric","value"
"Kobe Bryant","Points Per Game","24.2"
"Kobe Bryant","Field Goal Percentage","0.4414"
"Kobe Bryant","3 Point Percentage","0.3177"
"Kobe Bryant","Rebounds Per Game","5.2"
"Kobe Bryant","Assists Per Game","4.76"
"Kobe Bryant","Steals Per Game","1.41"
"Magic Johnson","Points Per Game","19.3846153846154"
"Magic Johnson","Field Goal Percentage","0.518846153846154"
"Magic Johnson","3 Point Percentage","0.233538461538462"
"Magic Johnson","Rebounds Per Game","7.2"
"Magic Johnson","Assists Per Game","10.9230769230769"
"Magic Johnson","Steals Per Game","1.91538461538462"
"Kareem Abdul-Jabbar","Points Per Game","24.59"
"Kareem Abdul-Jabbar","Field Goal Percentage","0.55835"
"Kareem Abdul-Jabbar","3 Point Percentage","0.01665"
"Kareem Abdul-Jabbar","Rebounds Per Game","11.17"
"Kareem Abdul-Jabbar","Assists Per Game","3.625"
"Kareem Abdul-Jabbar","Steals Per Game","0.755"
"Shaquille O'Neal","Points Per Game","22.0904761904762"
"Shaquille O'Neal","Field Goal Percentage","0.587428571428571"
"Shaquille O'Neal","3 Point Percentage","0.0238095238095238"
"Shaquille O'Neal","Rebounds Per Game","10.3857142857143"
"Shaquille O'Neal","Assists Per Game","2.34761904761905"
"Shaquille O'Neal","Steals Per Game","0.585714285714286"
"Jerry West","Points Per Game","26.7428571428571"
"Jerry West","Field Goal Percentage","0.473"
"Jerry West","3 Point Percentage","0"
"Jerry West","Rebounds Per Game","5.64285714285714"
"Jerry West","Assists Per Game","6.69285714285714"
"Jerry West","Steals Per Game","0.185714285714286"
"James Worthy","Points Per Game","17.7166666666667"
"James Worthy","Field Goal Percentage","0.520333333333333"
"James Worthy","3 Point Percentage","0.152"
"James Worthy","Rebounds Per Game","5.10833333333333"
"James Worthy","Assists Per Game","3.06666666666667"
"James Worthy","Steals Per Game","1.125"
"LeBron James","Points Per Game","27.2"
"LeBron James","Field Goal Percentage","0.5066"
"LeBron James","3 Point Percentage","0.34445"
"LeBron James","Rebounds Per Game","7.54"
"LeBron James","Assists Per Game","7.34"
"LeBron James","Steals Per Game","1.515"
"Pau Gasol","Points Per Game","15.5136363636364"
"Pau Gasol","Field Goal Percentage","0.489590909090909"
"Pau Gasol","3 Point Percentage","0.292681818181818"
"Pau Gasol","Rebounds Per Game","8.51818181818182"
"Pau Gasol","Assists Per Game","2.99545454545455"
"Pau Gasol","Steals Per Game","0.459090909090909"
"Gail Goodrich","Points Per Game","18.1357142857143"
"Gail Goodrich","Field Goal Percentage","0.454785714285714"
"Gail Goodrich","3 Point Percentage","0"
"Gail Goodrich","Rebounds Per Game","3.12142857142857"
"Gail Goodrich","Assists Per Game","4.52857142857143"
"Gail Goodrich","Steals Per Game","0.535714285714286"
"Michael Cooper","Points Per Game","8.3"
"Michael Cooper","Field Goal Percentage","0.469083333333333"
"Michael Cooper","3 Point Percentage","0.26725"
"Michael Cooper","Rebounds Per Game","2.91666666666667"
"Michael Cooper","Assists Per Game","3.85"
"Michael Cooper","Steals Per Game","1.10833333333333"
"Byron Scott","Points Per Game","14.0142857142857"
"Byron Scott","Field Goal Percentage","0.475"
"Byron Scott","3 Point Percentage","0.364571428571429"
"Byron Scott","Rebounds Per Game","2.75714285714286"
"Byron Scott","Assists Per Game","2.55"
"Byron Scott","Steals Per Game","1.12857142857143"
"Bob McAdoo","Points Per Game","20.01"
"Bob McAdoo","Field Goal Percentage","0.4903"
"Bob McAdoo","3 Point Percentage","0.00625"
"Bob McAdoo","Rebounds Per Game","8.535"
"Bob McAdoo","Assists Per Game","2.265"
"Bob McAdoo","Steals Per Game","0.925"
"Robert Horry","Points Per Game","6.93888888888889"
"Robert Horry","Field Goal Percentage","0.4185"
"Robert Horry","3 Point Percentage","0.330833333333333"
"Robert Horry","Rebounds Per Game","4.65"
"Robert Horry","Assists Per Game","2.07777777777778"
"Robert Horry","Steals Per Game","1.07222222222222"
"Jamaal Wilkes","Points Per Game","16.325"
"Jamaal Wilkes","Field Goal Percentage","0.487083333333333"
"Jamaal Wilkes","3 Point Percentage","0.0696666666666667"
"Jamaal Wilkes","Rebounds Per Game","5.775"
"Jamaal Wilkes","Assists Per Game","2.36666666666667"
"Jamaal Wilkes","Steals Per Game","1.19166666666667"
"Derek Fisher","Points Per Game","7.86363636363636"
"Derek Fisher","Field Goal Percentage","0.386181818181818"
"Derek Fisher","3 Point Percentage","0.364454545454545"
"Derek Fisher","Rebounds Per Game","1.97727272727273"
"Derek Fisher","Assists Per Game","2.84090909090909"
"Derek Fisher","Steals Per Game","0.995454545454545"
