"Cement","Blast.Furnace.Slag","Fly.Ash","Water","Superplasticizer","Coarse.Aggregate","Fine.Aggregate","Age","Strength"
387,20,94,157,11.6,938,845,28,46.68
168,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
331,0,0,192,0,978,825,360,41.24
322,0,0,203,0,974,800,28,25.18
525,0,0,189,0,1125,613,14,48.4
339,0,0,197,0,968,781,365,38.89
339,0,0,197,0,968,781,28,32.04
153,145,113,178,8,1002,689,28,25.56
296,0,0,186,0,1090,769,28,25.18
349,0,0,192,0,1056,809,7,9.01
303.6,139.9,0,213.5,6.2,895.5,722.5,28,33.42
252,0,0,185,0,1111,784,28,19.69
213.5,0,174.2,159.2,11.7,1043.6,771.9,14,29.59
425,106.3,0,151.4,18.6,936,803.7,3,36.3
148,0,182,181,15,839,884,28,15.52
233.8,0,94.6,197.9,4.6,947,852.2,14,22.14
149,236,0,176,13,847,893,28,32.96
387,20,94,157,11.6,938,845,3,34.77
382,0,0,185,0,1047,739,7,24
200,133,0,192,0,965.4,806.2,28,30.44
266,112,87,178,10,910,745,28,39.42
173,116,0,192,0,946.8,856.8,28,24.28
331,0,0,192,0,978,825,90,37.23
322,149,0,186,8,951,709,28,52.42
313.8,0,112.6,169.9,10.1,925.3,782.9,28,38.46
152.6,238.7,0,200,6.3,1001.8,683.9,28,26.86
300,0,0,184,0,1075,795,7,15.58
525,0,0,189,0,1125,613,28,55.94
148,0,137,158,16,1002,830,28,17.95
379.5,151.2,0,153.9,15.9,1134.3,605,28,52.2
108.3,162.4,0,203.5,0,938.2,849,7,7.72
326,0,138,199,11,801,792,28,40.68
212.6,0,100.4,159.4,10.4,1003.8,903.8,14,25.37
380,0,0,228,0,932,670,365,52.52
190,190,0,228,0,932,670,270,50.66
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.5
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56,48.99
305.3,203.5,0,203.5,0,965.4,631,28,43.38
178,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16
297.2,0,117.5,174.8,9.5,1022.8,753.5,100,56.74
132,206.5,160.9,178.9,5.5,866.9,735.6,28,33.31
389.9,189,0,145.9,22,944.7,755.8,3,40.6
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
289,133.7,0,194.9,5.5,924.1,760.1,28,46.25
202,11,141,206,1.7,942,801,7,15.07
446,24,79,162,11.6,967,712,28,51.02
190,190,0,228,0,932,670,365,53.69
182,45.2,122,170.2,8.2,1059.4,780.7,100,48.67
275,0,0,183,0,1088,808,7,14.2
238.1,0,0,185.7,0,1118.8,789.3,28,17.58
190.7,0,125.4,162.1,7.8,1090,804,28,26.4
239.6,359.4,0,185.7,0,941.6,664.3,28,39.44
